,Name,UniqeIdentifier,No.,name_url,HP,Att,Def,S.Att,S.Def,Spd,Ph.Sweep,Sp.Sweep,Wall,Ph.Tank,Sp.Tank,PrimaryType,SecondaryType,Ability,Ability Gen,Ability Category,Activation Requirement,Gen,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary,final_stage,regional_form
0,Abomasnow,460abomasnowSnow Warning4,460,abomasnow,90,92,75,92,85,60,152,152,250,167,177,grass,ice,Snow Warning,4,Weather,Yes,4,50.0,50.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.2,135.5,60,50,2560,Slow,0,0,1,0
1,Abra,63abraSynchronize1,63,abra,25,20,15,105,55,90,110,195,95,35,160,psychic,,Synchronize,3,Status Affected,No,1,75.49,24.51,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.9,19.5,200,50,2560,Medium Slow,0,0,0,0
2,Absol,359absolPressure3,359,absol,65,130,60,75,60,75,205,150,185,190,135,dark,,Pressure,3,Stats Affected,No,3,50.2,49.8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.2,47.0,30,35,3200,Medium Slow,1,0,1,0
3,Accelgor,617accelgorHydration5,617,accelgor,80,70,40,100,60,145,215,245,180,110,160,bug,,Hydration,4,Healing,Yes,5,50.2,49.8,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8,25.3,75,50,1920,Medium Fast,0,0,1,0
4,Aegislash,681aegislashStance Change6,681,aegislash,60,50,140,50,140,60,110,110,340,190,190,steel,ghost,Stance Change,6,Form Changes,Yes,6,50.2,49.8,0.0,2.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,0.5,0.5,0.25,0.5,2.0,0.5,2.0,0.5,0.5,1.7,53.0,45,50,2560,Medium Fast,0,0,1,0
5,Aerodactyl,142aerodactylRock Head1,142,aerodactyl,80,105,65,60,75,130,235,190,220,170,135,rock,flying,Rock Head,3,Damage Modification,No,1,88.14,11.86,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.8,59.0,45,50,4480,Slow,1,0,1,0
6,Aggron,306aggronSturdy3,306,aggron,70,110,180,60,60,50,160,110,310,290,120,steel,rock,Sturdy,3,Damage Modification,No,3,50.2,49.8,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,2.1,360.0,45,35,4480,Slow,1,0,1,0
7,Aipom,190aipomRun Away2,190,aipom,55,70,55,40,55,85,155,125,165,125,95,normal,,Run Away,3,Miscellaneous,No,2,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,11.5,45,50,2560,Fast,0,0,0,0
8,Alakazam,65alakazamSynchronize1,65,alakazam,55,50,45,135,95,120,170,255,195,95,230,psychic,,Synchronize,3,Status Affected,No,1,75.49,24.51,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.5,48.0,50,50,2560,Medium Slow,1,0,1,0
9,Alcremie,869alcremieSweet Veil8,869,alcremie,65,60,75,110,121,64,124,174,261,135,231,fairy,,Sweet Veil,6,Damage Modification,Yes,8,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.3,0.5,100,50,2560,Medium Fast,0,0,1,0
10,Alomomola,594alomomolaHealer5,594,alomomola,165,75,80,40,45,65,140,105,290,155,85,water,,Healer,5,Stats Affected,No,5,50.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.2,31.6,75,50,5120,Fast,0,0,1,0
11,Altaria,334altariaNatural Cure3,334,altaria,75,70,90,70,105,80,150,150,270,160,175,dragon,flying,Natural Cure,3,Stats Affected,Yes,3,50.0,50.0,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.1,20.6,45,50,2560,Erratic,1,0,1,0
12,Amaura,698amauraRefrigerate6,698,amaura,77,59,50,67,63,46,105,113,190,109,130,rock,ice,Refrigerate,6,Type Change,Yes,6,88.14,11.86,0.5,1.0,2.0,1.0,2.0,0.5,4.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.3,25.2,45,50,3840,Medium Fast,0,0,0,0
13,Ambipom,424ambipomTechnician4,424,ambipom,75,100,66,60,66,115,215,175,207,166,126,normal,,Technician,4,Conditional Power Boosts,No,4,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.2,20.3,45,100,2560,Fast,0,0,1,0
14,Amoonguss,591amoongussEffect Spore5,591,amoonguss,114,85,70,85,80,30,115,115,264,155,165,grass,poison,Effect Spore,3,Status Affected,No,5,50.0,50.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6,10.5,75,50,2560,Medium Fast,0,0,1,0
15,Ampharos,181ampharosStatic2,181,ampharos,90,75,85,115,90,55,130,170,265,160,205,electric,,Static,3,Stats Affected,No,2,50.0,50.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.4,61.5,45,50,2560,Medium Slow,1,0,1,0
16,Annihilape,979annihilapeVital Spirit9,979,annihilape,110,115,80,50,90,90,205,140,280,195,140,fighting,ghost,Vital Spirit,3,Damage Modification,Yes,9,50.0,50.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,2.0,1.2,56.0,45,50,2560,Medium Fast,0,0,1,0
17,Anorith,347anorithBattle Armor3,347,anorith,45,95,50,40,50,75,170,115,145,145,90,rock,bug,Battle Armor,3,Critical Hit Interaction,Yes,3,88.14,11.86,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.7,12.5,45,50,3840,Erratic,0,0,0,0
18,Appletun,842appletunRipen8,842,appletun,110,85,80,100,80,30,115,130,270,165,180,grass,dragon,Ripen,8,Miscellaneous,No,8,50.0,50.0,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.4,13.0,45,50,2560,Erratic,0,0,1,0
19,Applin,840applinRipen8,840,applin,40,40,80,40,40,20,60,60,160,120,80,grass,dragon,Ripen,8,Miscellaneous,No,8,50.0,50.0,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.2,0.5,255,50,2560,Erratic,0,0,0,0
20,Araquanid,752araquanidWater Bubble7,752,araquanid,68,70,92,50,132,42,112,92,292,162,182,water,bug,Water Bubble,7,Status Affected,No,7,50.0,50.0,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.8,82.0,100,50,1920,Medium Fast,0,0,1,0
